STATION,DATE,TAVG,TMAX,TMIN,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22
USW00014765,2005-01-01,44.0,53,35,1.0,,,,,,,,,,,1.0,,,,,,,,
USW00014765,2005-01-02,36.0,44,28,,,,,,,,,,,,,,,1.0,,1.0,,,
USW00014765,2005-01-03,49.0,53,44,1.0,,,,,,,,,,,1.0,,,1.0,,,,,
USW00014765,2005-01-04,42.0,45,39,1.0,,,,,,,,,,,1.0,1.0,,1.0,,,,,
USW00014765,2005-01-05,36.0,43,28,1.0,,,,,,,,,,,1.0,,,1.0,,1.0,,,
USW00014765,2005-01-06,30.0,35,25,1.0,,,1.0,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,
USW00014765,2005-01-07,33.0,37,28,1.0,,,,,,,,,,,1.0,,,,,,,,
USW00014765,2005-01-08,32.0,34,29,1.0,,,1.0,,,,,,,,1.0,1.0,,1.0,,1.0,,,
USW00014765,2005-01-09,31.0,34,28,1.0,,,,,,,,,,,1.0,,,,,1.0,,,
USW00014765,2005-01-10,37.0,43,31,1.0,,,,,,,,,,,1.0,,,,,1.0,,,
USW00014765,2005-01-11,34.0,38,30,1.0,,,,,,,,,,,1.0,,,,,1.0,,,
USW00014765,2005-01-12,33.0,37,29,1.0,,,,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,
USW00014765,2005-01-13,46.0,59,33,1.0,1.0,,,,,,,,,,1.0,1.0,,1.0,,,,,
USW00014765,2005-01-14,48.0,62,33,1.0,,,1.0,,,,,,,,1.0,1.0,,1.0,,,,,
USW00014765,2005-01-15,29.0,33,25,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-01-16,27.0,30,23,1.0,,,,,,,,,,,1.0,,,,,1.0,,,
USW00014765,2005-01-17,22.0,29,15,1.0,,,,,,,,1.0,,,1.0,,,,,1.0,,,
USW00014765,2005-01-18,11.0,15,6,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-01-19,16.0,29,3,1.0,1.0,,,,,,,,,,1.0,,,,,1.0,,,1.0
USW00014765,2005-01-20,24.0,29,18,1.0,,,,,,,,,,,1.0,,,,,1.0,,,
USW00014765,2005-01-21,11.0,18,3,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-01-22,13.0,27,-2,1.0,1.0,,,,,,,1.0,,,1.0,,,,,1.0,,,1.0
USW00014765,2005-01-23,17.0,28,5,1.0,1.0,,,,,,,1.0,,,1.0,,,,,1.0,,,1.0
USW00014765,2005-01-24,14.0,23,4,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-01-25,21.0,27,15,,,,,,,,,,,,,,,,,1.0,,,
USW00014765,2005-01-26,23.0,29,17,1.0,1.0,,,,,,,1.0,,,1.0,,,,,1.0,,,1.0
USW00014765,2005-01-27,12.0,18,6,,,,,,,,,,,,,,,,,1.0,,,
USW00014765,2005-01-28,12.0,22,2,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-01-29,19.0,36,2,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-01-30,32.0,39,24,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-01-31,24.0,31,16,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-02-01,23.0,36,9,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-02-02,25.0,38,11,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-02-03,30.0,36,23,1.0,,,,,,,,,,,1.0,1.0,,1.0,,1.0,,,
USW00014765,2005-02-04,34.0,36,31,1.0,,,,,,,,,,,1.0,1.0,,1.0,,1.0,,,
USW00014765,2005-02-05,41.0,50,31,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-02-06,37.0,45,29,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-02-07,40.0,52,28,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-02-08,34.0,43,25,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-02-09,44.0,53,34,1.0,,,,,,,,,,,1.0,,,1.0,,,,,
USW00014765,2005-02-10,36.0,41,30,1.0,1.0,,,,,,,,,,1.0,1.0,,1.0,,1.0,,,
USW00014765,2005-02-11,32.0,36,27,,,,,,,,,,,,,,,,,1.0,,,
USW00014765,2005-02-12,33.0,39,26,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-02-13,34.0,41,26,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-02-14,31.0,40,21,1.0,,,,,,,,,,,1.0,,,1.0,,1.0,,,
USW00014765,2005-02-15,43.0,52,34,1.0,,,,,,,,,,,1.0,1.0,,1.0,,,,,
USW00014765,2005-02-16,43.0,54,31,1.0,,,,,,,,,,,1.0,,,1.0,,,,,
USW00014765,2005-02-17,34.0,39,29,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-02-18,25.0,34,16,,,,,,,,,,,,,,,,,1.0,,,
USW00014765,2005-02-19,21.0,29,13,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-02-20,26.0,34,18,,,,,,,,,,,,,,,,,1.0,,,
USW00014765,2005-02-21,29.0,33,25,1.0,,,,,,,,,,,1.0,1.0,,1.0,,1.0,,,
USW00014765,2005-02-22,30.0,33,26,1.0,,,,,1.0,,,,,,1.0,,1.0,1.0,,1.0,,,
USW00014765,2005-02-23,31.0,37,24,1.0,,,,,,,,,,,1.0,,,,,1.0,,,
USW00014765,2005-02-24,24.0,29,18,1.0,,,,,,,,,,,1.0,,,,,1.0,,,
USW00014765,2005-02-25,25.0,30,19,1.0,,,,,,,,,,,1.0,,,,,1.0,,,
USW00014765,2005-02-26,24.0,35,13,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-02-27,28.0,35,20,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-02-28,27.0,36,18,1.0,1.0,,,,,,,,,,1.0,,,,,1.0,,,1.0
USW00014765,2005-03-01,30.0,32,27,1.0,,,,,,,,,,,1.0,,,,,1.0,,,1.0
USW00014765,2005-03-02,30.0,35,24,1.0,,,,,,,,,,,1.0,,,,,1.0,,,
USW00014765,2005-03-03,24.0,29,19,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-03-04,25.0,33,16,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-03-05,30.0,40,19,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-03-06,34.0,41,26,,,,,,,,,,,,,,,,,1.0,,,
USW00014765,2005-03-07,40.0,47,32,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-03-08,30.0,44,16,1.0,1.0,,1.0,,,,,1.0,,,1.0,,,1.0,,1.0,,,1.0
USW00014765,2005-03-09,18.0,25,11,,,,,,,,,1.0,,,,,,,,1.0,,,
USW00014765,2005-03-10,22.0,30,13,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-03-11,25.0,32,18,1.0,1.0,,,,,,,,,,1.0,,,,,1.0,,,1.0
USW00014765,2005-03-12,34.0,35,32,1.0,1.0,,,,,,,,,,1.0,,,1.0,,1.0,,,
USW00014765,2005-03-13,34.0,38,30,1.0,,,,,,,,,,,1.0,,,,,1.0,,,
USW00014765,2005-03-14,34.0,42,25,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-03-15,37.0,46,28,,,,,,,,,,,,,,,,,,,,
