Category: All categories

Month,diet: (United States)
2004-01,100
2004-02,74
2004-03,71
2004-04,69
2004-05,75
2004-06,66
2004-07,63
2004-08,56
2004-09,53
2004-10,51
2004-11,51
2004-12,44
2005-01,63
2005-02,51
2005-03,57
2005-04,57
2005-05,60
2005-06,55
2005-07,55
2005-08,50
2005-09,46
2005-10,47
2005-11,45
2005-12,40
2006-01,65
2006-02,55
2006-03,54
2006-04,52
2006-05,53
2006-06,58
2006-07,55
2006-08,53
2006-09,47
2006-10,47
2006-11,45
2006-12,41
2007-01,63
2007-02,55
2007-03,59
2007-04,60
2007-05,55
2007-06,59
2007-07,56
2007-08,49
2007-09,51
2007-10,48
2007-11,44
2007-12,39
2008-01,62
2008-02,51
2008-03,51
2008-04,55
2008-05,49
2008-06,48
2008-07,51
2008-08,49
2008-09,46
2008-10,48
2008-11,45
2008-12,43
2009-01,63
2009-02,54
2009-03,54
2009-04,55
2009-05,54
2009-06,52
2009-07,52
2009-08,50
2009-09,48
2009-10,46
2009-11,45
2009-12,42
2010-01,66
2010-02,57
2010-03,57
2010-04,56
2010-05,55
2010-06,52
2010-07,50
2010-08,49
2010-09,48
2010-10,47
2010-11,44
2010-12,43
2011-01,74
2011-02,64
2011-03,65
2011-04,70
2011-05,69
2011-06,63
2011-07,62
2011-08,59
2011-09,56
2011-10,55
2011-11,54
2011-12,50
2012-01,78
2012-02,69
2012-03,68
2012-04,66
2012-05,63
2012-06,64
2012-07,63
2012-08,60
2012-09,56
2012-10,52
2012-11,49
2012-12,47
2013-01,74
2013-02,69
2013-03,69
2013-04,69
2013-05,64
2013-06,62
2013-07,62
2013-08,57
2013-09,53
2013-10,51
2013-11,49
2013-12,45
2014-01,71
2014-02,60
2014-03,60
2014-04,59
2014-05,57
2014-06,55
2014-07,51
2014-08,48
2014-09,48
2014-10,46
2014-11,41
2014-12,41
2015-01,60
2015-02,49
2015-03,54
2015-04,55
2015-05,51
2015-06,52
2015-07,51
2015-08,48
2015-09,45
2015-10,43
2015-11,40
2015-12,38
2016-01,60
2016-02,52
2016-03,52
2016-04,54
2016-05,51
2016-06,48
2016-07,48
2016-08,48
2016-09,44
2016-10,42
2016-11,38
2016-12,39
2017-01,61
2017-02,62
2017-03,59
2017-04,57
2017-05,54
2017-06,56
2017-07,59
2017-08,53
2017-09,48
2017-10,48
2017-11,46
2017-12,45
2018-01,71
2018-02,66
2018-03,66
2018-04,69
2018-05,66
2018-06,65
2018-07,69
2018-08,64
2018-09,55
2018-10,53
2018-11,47
2018-12,48
